,University,Country,Street Address,Locality,Postal Code,Region
0, A.T. Still University,us ,800 W Jefferson Street,Kirksville,63501-1497,Missouri
1, Aalborg Universitet,dk ,Fredrik Bajers Vej 5,Aalborg,9210,North Denmark Region
2, Aalto-yliopisto,fi ,"Otakaari 1, room Y199a",Espoo,02150,Uusimaa
3, Aarhus Universitet,dk ,Nordre Ringgade 1,Aarhus,8000,Central Denmark Region
4, Aba Teachers University,cn ,,Aba,623002,Sichuan
5, Abant Izzet Baysal Üniversitesi,tr ,Gölköy Kampüsü,Bolu,14280,Bolu
6, Abasyn University,pk ,Ring Road,Peshawar,25000,Khyber Pakhtunkhwa
7, Abbottabad University of Science and Technology,pk ,"Captain Akaash Rabbani Shaheed Road, Tehsil Havelian",Abbottabad,,Khyber Pakhtunkhwa
8, Abdul Wali Khan University Mardan,pk ,Toro Road Near sheikh Maltoon Town,Mardan,23200,Khyber Pakhtunkhwa
9, Abdullah Gül Üniversitesi,tr ,Barbaros Mahallesi Sümer Kampüsü Kocasinan,Kayseri,38080,Kayseri
10, Abdulrahman Al-Sumait Memorial University,tz ,PO Box 1933,Zanzibar,,Mjini Magharibi
11, Aberystwyth University,gb ,Old College King Street,Aberystwyth,SY23 2AX,Wales
12, Abhilashi University,in ,,Chailchowk,,Himachal Pradesh
13, Abia State University,ng ,Private Mailbox 2000,Uturu,,Abia
14, Abilene Christian University,us ,1600 Campus Court,Abilene,79699,Texas
15, ABM University College,bw ,"Plot 38796, Lephala Road Block 6; Private Bag 00331",Gaborone,,Gaborone
16, Abo Akademi,fi ,Domkyrkotorget 3,Turku,20500,Southwest Finland
17, Abourihan Higher Education Institute,af ,Karte 4,Kabul,,Kabul
18, Abra State Institute of Science and Technology,ph ,,Lagangilang,2802,Cordillera Administrative Region
19, Abraham Baldwin Agricultural College,us ,2802 Moore Highway,Tifton,31793-2601,Georgia
20, Abu Dhabi Polytechnic,ae ,PO Box 111499,Abu,,Abu Dhabi
21, Abu Dhabi School of Management,ae ,Salam St. & 31 St.; PO Box 6844,Abu,,Abu Dhabi
22, Abu Dhabi University,ae ,Khalifa city A,Abu,59911,Abu Dhabi
23, Abubakar Tafawa Balewa University,ng ,Private Mailbox 0248,Bauchi,740004,Bauchi
